SHH_beta	Group4_gamma	SHH_delta	Group3_beta	SHH_alpha	WNT_beta	SHH_gamma	Group3_gamma	Group4_beta	Group3_alpha	Group4_alpha	WNT_alpha
Tfap2d	3.4211497778	9.33868720669	3.44554441454	6.19696607278	3.47599511112	5.22964980086	3.46364785785	5.17877488933	4.87044956144	4.40584351366	5.53681984082	6.48997500212
Gjd2	6.82796328446	8.35104831087	7.01104877546	7.82616078057	7.04617943722	9.23585980138	7.1091104817	7.6023025756	6.92875659304	7.95177960778	7.36374620403	9.43322404149
Kif12	5.75040955946	7.15358680512	5.23867011754	5.86159594073	5.21231859452	5.44018931071	5.49098603445	6.03464455355	5.37786025904	6.15880650906	5.64748528176	5.5408458168
Nhlh2	9.57809614954	9.09805101055	5.65312954524	6.94070638135	7.42262751017	5.95037571143	8.00960371687	7.5641584678	5.69643369985	6.15832397301	7.90004252138	5.71185016684
Galnt14	7.12122439337	7.24503818079	6.06662769093	8.66780903573	6.03896875871	9.27068565438	5.96937799621	8.20059532895	5.47492744838	8.82052336079	6.16010745438	10.2838695433
Gpx3	7.28455795514	6.99555606171	7.11429967796	7.18047286946	7.32267136928	6.710478051	8.0862701486	8.24838888732	7.07254153061	7.95251256813	7.11333972193	6.66098333131
Samd11	5.74851400717	5.60777602949	6.26897281668	6.13047137073	5.91987287632	5.72071718052	5.61583775345	6.6062593585	5.44036205954	6.73179449873	5.44184532606	5.4982195418
Robo3	6.43489308811	6.4489945063	6.19200154743	8.42682441784	6.51531371115	6.60392459848	5.85796732974	8.89211646202	7.21013296508	7.71670273512	6.18828528947	6.77678043671
Trim58	5.77045810189	6.61954331892	5.69293649871	7.88556675116	5.75745711455	5.80523111262	5.75237484849	8.53731281955	6.29863173993	8.44677284151	7.03165237485	5.78783560376
Dmbx1	5.97154749926	6.10527414113	6.01550188884	6.29373662368	5.95973321606	6.28769768386	5.96708174974	7.294172713	6.05460685432	7.27802667237	6.05592577286	6.41637705153
Plxdc1	7.81378047603	8.92972657795	7.32156608028	8.94165237019	7.70463170506	10.339512884	7.77139329519	9.19147820325	8.10354268489	10.1797952623	8.41773714671	11.3132208127
Sema3f	6.35955776549	6.39051709061	5.88975375424	6.60417141573	6.21663323297	6.64673574743	5.91669688826	7.16462140115	6.28251763246	7.93879539667	6.18634613596	6.91884716504
Lypd2	5.45976784403	5.61124849435	5.53458783875	5.58443049124	5.46432363298	5.53519603695	5.43077674732	6.20531982545	5.56359950511	6.06804881431	5.5028930798	5.48608912922
Lrit2	3.9990954652	4.49198617929	4.11024065311	4.60109346611	4.05478823398	4.66023921533	4.03629477998	4.55839307493	4.20870202874	5.04236011834	4.14037007594	4.53157999859
Rd3	4.58733760589	6.10575665838	4.36587678136	6.90329441046	4.44070655326	6.43192413957	4.34545306883	7.63975380655	4.70520322205	9.01846646373	4.79557087012	6.93267515718
Tgfb1	6.20784386074	6.5267095034	5.81782123078	7.11298583192	6.16862770314	6.59790077157	6.30734642545	7.06475606753	6.37743444863	7.6271892783	6.70463464956	6.70731258051
Grik1	5.69219888309	8.99564246851	5.69809270042	7.54089462535	5.38715370346	9.23028577471	6.25784443091	7.29358538827	6.41889516019	9.71359907167	7.39816864961	10.2434614408
Abcg4	6.26500860117	7.23092444673	5.82561566443	7.30031485884	5.79177801714	6.8275382679	6.99353819353	7.6814150164	6.95145306781	8.83612168534	6.81462903203	6.97816092424
Tmem176a	7.09450911697	7.82545937224	8.50921891639	7.75341373676	7.57316638726	8.44256912381	7.14218841015	7.90328903912	6.99898420308	9.27684995184	7.23101671369	8.46485964759
Epha2	5.45627814854	5.9090676615	5.60638591975	6.37952316551	5.58100705195	6.8766730789	5.49116037757	6.8317166628	5.42713425328	7.67899074748	5.71768010438	7.5584772342
Baiap2l1	4.98826806049	6.72009960778	5.35700245232	6.28836417927	5.85011703912	6.83361135514	5.13862999547	6.84827972505	6.21077220119	7.10406911252	6.32410196441	6.99047772022
Pck2	6.26409479983	6.0463250115	6.25699393816	7.42269223311	6.47482315172	7.370752883	6.33871657877	7.711408081	5.46656717443	8.23271138975	5.54456119394	7.49560553104
Dand5	4.64083751334	4.95638675925	5.10456263388	5.98417959724	4.81673466831	5.27021301881	4.6135607744	6.3350396897	4.77544646755	5.90414271921	4.8873801568	5.23939410016
Pyy	5.54885795891	5.98290472602	5.63503212254	6.97314754492	5.42406685222	5.89982032152	5.46720733966	6.99975509443	5.6416629409	8.00159952888	5.74412352034	5.83970408382
Hk2	7.49411029843	8.74217060157	7.66442906767	9.19916205949	7.76155563235	10.0589023561	7.8441643007	9.58967475848	6.92834259389	10.1957056258	7.97149677543	10.8168082486
Eml1	7.25870244334	6.48537426224	7.32874376272	7.74926300543	7.41503382157	6.36833272757	7.10762529089	8.47593879563	5.56151547517	8.95819142394	6.50172369463	5.80475731024
Prom1	6.7862505344	6.23179625788	6.35561493303	7.74879512208	6.60894222994	6.91501275662	6.47000853919	9.01806573892	5.44967499061	7.67233034218	5.6319290074	6.41424995686
Etnk2	5.20515859563	6.31689449032	5.37774337225	7.03371953259	5.23737546105	5.27273174852	5.21065929285	6.21105322712	5.79607370694	7.44609060366	6.19185606765	5.04937277735
Sorbs2	7.39453314494	8.63539472563	6.37977115451	9.12098538454	6.80821760348	5.66481866367	7.83001178079	9.69919095812	8.25958455694	9.35337010539	8.59695930759	5.53698341765
Lhx8	9.1859100454	4.94812125034	5.49740336787	5.53880392984	6.14118624151	7.97794785024	7.06068963323	6.8353351911	5.61950913398	5.8075223181	5.67138726876	9.24794529004
Zfpm2	9.55716032946	9.86951837102	8.54981148249	11.7708771227	9.21260711188	10.6735718765	10.5733274724	11.8065980848	7.56038851289	10.3273511961	8.51851563708	11.5980894268
Slc6a8	6.21622934386	7.97215904887	6.13678280796	7.05322012962	6.63564003382	7.51016187671	6.37966930434	6.97041370098	7.26985435669	7.96060063164	7.45215937676	7.48242922945
Gadd45g	6.67809159977	8.33181932339	6.31459252918	8.01462544662	6.79955895448	7.32582969457	6.44594676387	7.62000347218	8.20117011993	8.1180713409	8.37930956443	7.12676948398
Lhx4	7.4727580638	9.92582457329	7.37983119003	9.3989510813	7.34505295795	5.41693171143	6.09280893083	8.31478806792	9.04038544966	9.57092038084	8.15398095816	5.06055179647
Cacna1g	5.80541225626	8.81740682382	5.33350723457	8.82694009486	5.3779355218	7.73601431638	5.9290200604	9.55833451123	7.63875027148	10.1292578336	8.11240625501	7.96014818039
Zdhhc22	7.54436391466	9.33443475714	7.25661036438	9.77836640519	7.27259730565	9.07448221538	7.40178655002	9.38406755515	9.89344964994	8.89209466467	9.1132733306	8.63059445731
Slc22a23	6.19202372074	8.1575201439	5.80110767879	8.09618333432	6.07096434	6.54749014071	6.30467045696	7.93522970338	7.69641320272	8.19888306313	7.89802227127	5.8661737719
Col27a1	6.35715740146	9.27971649259	6.11783396799	7.89391189768	6.07741059118	7.04261417667	7.19260129121	7.9709045482	8.27419194682	9.56111282739	7.83339532622	6.88338244557
Igsf21	8.09224456346	11.2234912386	8.05776559378	10.3349731992	7.04825427442	10.4366743811	8.94922746243	9.53973778402	11.1447365754	10.5943338291	10.8212745484	10.8017838941
Sgk1	7.02625543409	9.42560836474	5.90362255208	9.26840050559	6.32579825371	6.22697686533	7.52105237036	9.0952793102	9.69152336433	9.06646617296	8.89544371522	6.27864857769
Prl	6.9790003306	10.2478706878	6.03390849237	9.15663982354	6.18108829322	6.33807688005	6.13773263836	8.4473913922	10.0720122219	10.6154365881	9.58155640492	6.89623573408
Sytl4	5.53009167554	6.57309820477	6.36762386841	6.219834165	6.32123723118	5.61907843681	5.77316817628	6.18958554895	6.58406074645	8.34003801364	6.837016248	5.09462224804
Mmd	7.71996154937	9.27825271308	6.96081357143	9.44962703132	7.5661239752	8.39851005071	6.99477855157	9.28009008155	9.1505746355	9.56943595378	9.18520851958	8.62097100047
Mmd2	5.64655875243	7.95316103218	5.07011058704	7.20610910797	5.17384883165	7.02048680324	5.90931096079	7.25987782313	8.72288652507	7.54576081961	7.47520443481	6.79772256829
Kcnn1	5.34826137171	7.14318708636	5.71985881633	6.70236816676	5.57961459995	5.68023602557	5.95364459683	6.85316520652	7.17787182224	6.9432972589	7.05715319617	5.58128988506
Lemd1	4.76843847509	9.84581906834	4.88522694076	9.45796519781	5.30680835051	5.80598235362	4.93976291634	8.90522089123	9.62554521361	9.8284463403	9.27945944856	5.43411764416
Kcna5	3.82963340231	9.60531830828	3.91430739805	7.55073655154	3.97312071325	5.98694012652	3.94559576613	6.86400168882	8.14500031584	8.1943944456	8.47997460045	5.84062909153
Lrrc38	5.15750521754	9.08403350773	5.01463150461	7.27820703249	4.95304581994	6.28108320281	5.24437848481	6.47801209652	8.58768148229	7.29936447463	7.82782941758	6.00944509671
Neurog1	5.35719266457	10.0176553674	5.05638953947	10.0502872851	5.38907743602	9.93690479157	5.29544516004	9.23000694105	10.378254156	9.15972281212	10.2000463358	10.0935365267
Tigar	6.15424922557	8.72871204073	5.33744298501	8.01740778795	5.85261661992	7.37892139057	5.71803947183	8.33437682392	10.0051316326	8.95348028906	8.3159098824	7.40375002796
Six6	5.59559866074	8.69095896135	5.75483964567	6.12500128457	5.51734598245	5.80236449286	5.47231485398	6.50796426257	6.97604149994	7.05218397473	7.60116942555	5.5897306622
Fam89a	5.82933289249	7.4423936524	5.92930862832	6.47307318957	5.98194288698	7.30786265771	5.9264855564	7.08201871985	6.75709697139	7.23410063588	6.56191190944	7.27311088916
Sycp1	2.70147608149	5.69896430755	2.76828689086	3.45744142081	2.71492945671	2.67272823248	2.72824631781	3.18859486185	3.99768351775	3.83492366306	4.20358193108	2.64896395657
Slc6a9	6.40587181477	8.15494563545	8.35854698107	7.94165776889	7.54171779383	7.11268742152	7.03118262368	7.07565037895	7.61159655218	8.15019364339	7.85813916945	7.09792655667
Gramd1b	8.13954585457	10.9755939894	7.71152855992	10.282085629	7.15720676355	9.95265775757	9.32686099345	10.4750324127	9.92332593756	11.1278436541	9.89546243805	10.2819147284
Dab1	5.59247748306	6.5489907625	5.70251573134	7.24354138154	5.43380368834	6.97395950224	5.80492513366	6.65901968625	6.22403199219	7.24811844145	6.35855503722	7.31754296276
Ldlrad4	7.25515981511	8.17251762892	5.72484838088	8.38399734578	6.13284595158	6.18204337157	7.23024625383	8.36341267682	7.07729557606	8.23740470436	7.24568652242	6.14034795469
B4galt6	7.09191485886	8.66049603424	6.83792593412	8.99666539108	7.03535029726	7.30822136905	7.90034827381	8.2943026816	9.49453443712	9.00000141578	9.23031412141	7.73852927584
Cox20	8.08564400971	9.16655875968	8.19166528145	8.97701677292	7.99080225874	8.27392085833	8.27713626798	8.56351603557	9.24912023117	9.01953530384	8.95542122488	8.26023718853
Rgn	5.91232100649	7.77129043292	5.93301905568	6.71472234351	6.0878611516	8.26216138967	6.7989190876	6.24876244388	7.77781085862	6.4157955561	7.38399444011	8.03918310237
Plxna4	6.62875064077	8.42903997776	6.3302793313	7.49927516838	6.24019922457	8.6714445571	7.02708885913	7.90731401822	7.01469736094	8.96700047982	7.45376159684	8.29729879916
Apcdd1	8.36598215531	9.63585390835	8.0912750827	8.37066691759	8.0969212112	10.8042184923	8.10415088751	8.08306804747	8.5501792146	8.59691323887	9.22488681058	11.2168812798
Cxxc4	5.31976092309	8.91455224213	5.72651218018	8.05120128654	5.84318433863	7.15400262138	5.13828065877	8.08329605777	8.41581234056	8.1550733947	7.99251079661	7.27583381724
Dapk1	8.32700978589	9.73924867697	7.187149927	9.27041140897	7.5895635056	8.88333483471	7.50124027696	9.2838938658	9.54917770021	9.19766028764	9.60272967445	9.09344493267
Slc6a3	7.85965513991	9.41694827447	6.46383853887	7.83604207435	6.59521613062	6.43723875267	6.13234169813	6.37562681078	10.3523927504	8.79829638303	9.61673037305	6.63994262147
Tgfb3	7.75937962863	9.00333262396	6.43705498984	8.82141563149	6.46519726845	7.91625281257	7.23839246391	8.43268711737	8.43015153763	9.0044309503	8.33997071109	8.08387236759
Esrrg	7.90031473874	9.69329655061	6.06869542775	7.99141708332	6.68390772274	7.21700359886	6.92404009102	8.47881273912	10.0513437386	9.6527876181	9.7021863606	8.80682934724
Vash2	7.67023250643	9.00787705013	6.21877977529	8.18761522005	6.62862585649	7.80433945514	6.95596270594	8.25479694345	9.1154944879	8.32254561891	8.97515169511	7.5962549179
Draxin	8.4134554684	10.5057930371	7.57856227554	9.61050879219	7.33321112448	9.59746422919	7.45243094764	9.4690009868	10.3463403256	9.98492910612	10.9973666302	9.56890908969
Myt1	8.40333440509	9.65632728612	7.44216559921	9.08331400592	7.27413983642	7.45784850595	8.81156086057	9.40238787435	9.8563009165	9.04790398412	9.76181158678	7.3787534822
Chga	7.73415388751	8.01447399828	7.73065446587	8.49626279816	7.27260445769	7.39705952633	7.8794011293	8.36419533637	8.28762625131	7.93272702075	7.98580382462	7.74461681533
Gtf2ird1	8.45666169406	9.81734636815	8.28648444939	9.33625132257	8.50204177535	9.23247439833	7.92678465296	9.40604536428	9.23013580992	9.82326459097	9.49709479291	9.11039894365
Gpc2	7.65776603703	7.97791081613	7.21262493171	7.39703159327	7.18032285563	7.30091333667	6.80999999717	7.4762275777	7.5555116242	7.36659910731	8.1938788149	7.34190036545
Scrt2	6.16547768514	6.42484140489	5.38429008921	6.32544632724	5.35729674186	5.18454913867	5.67606364572	6.07821969715	6.23714537325	5.83358595927	6.42921937292	5.0913819982
Tph1	4.8988048276	7.82155264205	4.93344879845	7.10331740843	4.87082307957	8.74415828024	4.81727228217	8.07200413277	6.31451526611	7.89747153843	6.41692864165	10.0180354438
Fmn2	7.75502608757	9.31556371603	7.38743865197	7.82993594895	7.36122929142	8.11788724852	7.88927886368	7.81303876275	8.8262267645	8.60483634109	8.56076051439	8.40946864961
Celf3	9.61880050577	10.5004015413	9.41045483842	10.0427914778	9.14354506052	9.18481560076	9.70369790098	9.8544996763	10.0191787561	10.2598856876	10.3751002073	9.26285105714
Bhlhe22	8.41324297737	9.14795839093	7.98332392387	8.48157227446	7.80882406543	7.1367986701	7.88957624021	7.233708313	7.61388529508	8.41467080437	8.87385506495	7.42938170757
Neurod2	6.82086269769	8.46093943665	6.32162316101	7.52375309819	6.32623467429	6.76969452686	7.01198775962	7.36117918505	8.37698947132	6.76252461043	8.11835102271	6.76181212686
Cxxc5	10.0161790739	10.7868561401	10.3756566976	10.6768455189	10.1079161209	10.0312909165	10.4637202946	10.0966129696	10.7423869934	10.6931580361	10.8106903189	10.1929069697
Cdk5r1	7.91971678549	8.95805567627	7.82389640141	8.32870057554	7.59939693371	7.47459645967	7.82353781928	8.05047705437	8.99973473109	7.9937831527	9.17509145658	7.12052979194
Myt1l	9.3151652872	10.6919682207	8.12021739516	9.72653139492	8.23645204209	6.0874182301	8.82280085679	9.26006359845	10.256074481	9.58536338364	10.3990728364	6.59514474018
B3gat1	7.43582362071	8.59577861639	7.21431931961	8.64293411116	6.8750836512	5.86966409986	7.3988526363	7.07661092675	9.12019506025	7.50812858394	8.16932966862	5.92571227482
Myrip	7.33114000163	8.60931550817	7.00586140688	8.26136026227	6.41590831772	5.9751198871	7.66844080028	7.37460652515	8.64334106269	8.62861598252	8.14291645999	5.92784916551
Hunk	7.26033378463	8.50976488855	6.29787664672	6.92471274876	6.72371119491	8.92741408486	7.06439636806	7.13152184718	8.54851998337	6.79167183051	8.4298665058	9.57835929845
Prkx	9.37061536074	9.61338788337	9.84690614507	9.44527106359	9.37111499158	8.70233509486	8.82090244102	9.06851120165	9.68726440415	8.32547033382	9.80725916895	8.52572147743
Clic6	5.3281913208	7.07885864363	5.20086078179	5.32067358562	5.35456013129	5.06614593862	5.35881334366	5.25328225085	5.49964439856	6.04384919815	7.08528929613	5.32044335622
Fezf1	5.0532008634	7.44643234392	5.06588872054	5.76387145349	5.37043636708	6.14640523471	5.13030549255	5.56086619163	8.12707878698	6.29486571467	7.54540121354	7.25715907892
Kcnb2	8.37115948891	9.90499491648	7.75755498238	10.5309194203	8.53019929103	7.83525104881	8.08804420609	10.1951779766	10.6403540297	9.81623123075	9.82832730716	5.3388138261
Vstm2a	7.64966885731	9.83313280481	6.56378512857	8.90790204057	7.47527142515	10.2976144466	8.11517527951	7.46646587987	9.91402646442	8.64968196746	10.1637501027	11.4957739492
Kcna6	6.77373443514	6.29597379252	6.09314948818	5.90449111181	6.01423189162	5.579998463	6.18707707228	6.07501297222	6.40230897842	5.78118946463	6.28311558235	5.48778212951
Shd	5.92321761151	7.0623664826	7.02843750964	5.77202009151	6.63056543182	5.88814902629	6.52920868636	5.78020922345	7.25503360878	5.85988213969	6.98030755565	5.72731712418
Kalrn	8.74717841291	9.79568802578	9.62424686266	9.27299443395	9.07298929577	9.31290192338	8.31944849055	8.9206113393	10.4137012396	8.9867457039	10.0678295762	8.86811378133
Aqp5	5.36011963423	6.47024077687	5.71788560825	6.08876284203	5.78919934254	5.93441219314	5.48851032	5.71602856428	7.52669382396	5.95317024269	6.62158291263	5.8525440228
Nim1k	5.11235360809	6.32330527306	5.31961277734	5.96198287295	5.18951056058	5.09450247457	5.43248289226	6.0726535729	6.71988336823	6.2061884717	6.41933255097	4.92714621014
Aff2	8.27106591066	9.50139766181	7.86132189586	8.84135357595	7.77630860412	6.57872906205	8.19022913243	7.8496911428	8.6523133867	8.20285199176	8.53217888013	5.49894653227
Tbr1	6.78544988109	9.77829134604	6.14992036476	10.5537022728	6.22525065395	8.71349881929	6.24532999413	10.4642569759	10.2030161822	10.7749419908	11.0617638827	9.66415804865
Pde2a	5.55388328069	7.60155671774	7.44390965726	6.77883144776	5.91233641477	6.07953583743	5.97764429143	7.69027531465	7.37079506682	7.77524132719	7.95198047794	5.68371591859
Grm8	7.51139368366	9.14396857608	6.38270430172	8.35174511789	7.01161372297	6.68068066219	7.19692976902	6.96940687907	10.859525191	7.59526831978	10.6779451527	7.575815777
Gfpt2	9.13433520911	9.40159420972	7.09634767571	8.49737498316	7.25373991077	6.31624855819	8.04218940626	6.3648602386	9.15267669512	6.73528762945	8.81361543212	6.8783754742
Nbea	9.92927490091	9.98385829211	9.37951112218	9.77647243859	9.25455553414	9.388886231	9.76127600509	9.33994673595	10.266591814	9.77931731913	10.0180633274	9.7043236008
Cpne4	7.36370610803	10.8460682655	5.46557049883	10.2941217701	6.42893446189	8.14712703933	7.02339170121	8.90195229112	10.4764502823	8.96381725663	10.2550072565	9.1685146611
Nudt4	7.74970658557	8.924880034	6.66720748466	8.40605553027	6.86800942918	6.34387935724	6.5822641676	7.3397733896	7.66985323161	7.65525446069	8.55952328927	6.15522063263
Khdrbs2	5.3478116822	10.901740701	5.49745113895	10.1584212588	6.15999012362	4.78496928752	6.58037306364	7.98994156273	11.1246116302	10.3092831302	10.8150367825	5.79085299539
Unc5d	6.00189026454	10.4670199223	6.06707526212	8.33268744665	6.10445604191	6.33985303162	6.66184819379	7.04142465605	10.8675851148	8.92940475203	10.0152525793	6.09943840084
Rbm24	4.35003727037	7.48360762676	4.22561255876	5.11439886454	4.22824642589	5.1533233349	4.45799354611	5.02283069283	8.30261858739	4.57011261772	7.56735483137	4.35369558312
