Gene_ID/FPKM	1NSC-wt	2NSC-het	3NSC-ko	4NSC-ko	5NSC-wt
Plcg1	27.1667	23.7891	20.4948	22.6459	28.0437
Depdc5	8.36408	8.24448	6.98633	7.4214	10.078
Tnrc6b	6.02895	6.8645	5.92757	5.38998	5.92735
Pdlim3	12.9266	6.88718	3.41699	6.25269	2.69393
Glyr1	77.9641	66.4238	55.8845	59.6015	69.1092
Psmb7	209.514	179.612	152.881	163.386	215.62
Eif3d	138.9	127.907	96.9108	110.705	133.588
Ppp1r8	51.0376	47.3025	36.8046	42.5082	50.5416
Cenpt	22.9119	20.5404	15.8695	19.4391	23.3128
Ptov1	111.875	109.828	82.0013	92.0604	103.827
Tenm3	5.60828	5.49459	5.72576	5.13838	10.3286
Cfl1	787.844	811.393	575.911	671.767	760.983
Spata24	26.2007	21.1641	13.7892	18.6789	24.7091
Epb4.1	11.0233	9.40782	9.12397	8.26917	11.0437
N4bp2	4.10428	4.11713	3.50854	3.31483	4.47377
Lingo4	0.846699	0.714463	0.936796	0.89587	1.73703
Nfia	17.7847	17.4494	13.9637	13.7345	15.1187
Thoc5	24.3822	19.9964	16.7284	19.9177	22.6868
Hist1h2an	0.880729	1.03412	0.894749	0.910323	0.867243
Zkscan8	3.61937	2.52146	2.93511	2.50008	3.14673
Ctbp2	30.7714	24.7566	21.9032	23.9025	31.0216
Trap1	81.662	69.1779	52.1407	64.0558	75.3299
Serac1	3.03278	2.32283	2.42015	1.99187	2.62358
Mtg1	13.446	11.4199	8.45106	11.2282	15.5254
Puf60	130.319	122.299	92.5354	111.546	129.938
Elavl1	20.6678	17.6397	14.7255	16.1411	18.2106
Ikbkap	11.0075	10.8648	8.82295	9.00886	12.4305
Pcnp	52.3534	34.4444	32.4668	30.0778	31.9147
Ivns1abp	70.9276	55.3722	51.7817	46.5406	65.5706
Mrpl1	9.85561	6.38987	5.60777	6.88586	7.42494
Cep112	4.25699	4.14663	2.89212	3.50693	3.58066
Zdhhc3	13.6592	12.4144	10.6832	11.2695	13.4918
Gga2	9.67549	7.3293	6.73826	7.60277	8.69682
Msl1	23.5118	21.3934	17.0353	18.0737	21.1274
Apobec3	6.44949	5.75668	3.95157	5.15823	5.03245
Rpl9	67.2451	54.4387	42.9448	43.4707	58.0686
Rgs7	11.4125	11.3756	8.12874	9.26476	12.6012
Dcun1d5	63.8014	55.0693	40.2941	47.9025	53.6813
Chchd4	31.4566	29.6285	22.4001	23.889	27.8505
Chmp6	35.0368	38.1029	26.1832	31.6408	34.6552
Zpr1	16.5163	14.4158	11.628	13.152	17.0825
Cebpz	23.91	19.8381	16.5486	17.5571	22.9097
4930579G24Rik	6.80913	4.90876	3.69118	4.44067	5.24803
Zfp945	2.01074	1.45042	1.3089	1.38847	1.44697
Ctdspl2	6.15559	4.29148	3.84377	3.69467	4.57329
Cdkn2a	36.9807	42.4648	23.3673	33.5655	45.8754
Mlst8	13.8795	12.6359	10.8151	11.8571	15.7431
Rnf38	14.7036	11.8356	10.4776	11.2807	13.6814
Mid1ip1	90.9869	84.5927	65.8832	81.7715	90.8965
Nit2	26.131	23.0523	18.427	19.2501	26.0875
Actr5	4.74381	4.43966	3.42442	3.76136	3.94843
Ttc30a2	1.10607	1.1391	0.828843	1.04593	0.924843
Card9	0.816685	1.01429	0.59581	0.534621	0.42554
Chrac1	27.7649	26.3953	19.323	22.6582	26.3137
Sp3	31.4016	23.4791	22.3018	20.67	24.2685
Ccdc96	1.97941	1.60396	1.06678	1.63919	1.77724
Ccdc134	10.856	9.62796	6.7734	9.07354	10.2246
Dusp6	135.248	128.836	101.782	122.858	123.707
Matn2	38.9872	34.5819	26.9586	29.1458	15.6387
Jmjd1c	17.1879	14.7998	13.3826	13.4159	15.2326
Cenpc1	15.1635	10.9273	9.37914	9.4866	11.904
Rmnd1	5.62165	5.18559	4.50084	4.04285	4.33324
Tnfaip6	15.9349	14.1534	10.0015	12.8095	14.2442
Rel	1.23871	0.821963	0.859619	0.748348	0.8683
C330007P06Rik	23.568	18.3534	16.4185	17.1347	19.5269
Fam120aos	10.693	11.4968	6.70188	8.75651	7.64472
Pde7a	7.38436	5.66765	5.7126	5.10473	6.9726
1600002K03Rik	6.58707	5.91127	5.21182	4.9669	5.8717
Rngtt	12.6694	8.60477	8.302	7.9734	9.45962
Psmg1	32.7113	25.3754	22.1576	22.9503	31.6426
Atn1	37.6484	38.6512	31.8995	33.7197	36.2799
Nxpe3	1.62816	1.27695	1.01423	1.08998	1.24811
Dhps	23.1336	24.9503	17.4213	19.6611	24.5332
Rars2	24.0307	21.7163	16.972	19.6026	22.5656
Mettl17	7.18266	6.47119	5.39553	6.83081	7.71947
Ubap2l	65.6659	53.8782	49.1148	52.344	59.1209
Dnajc11	38.2576	33.7095	28.3492	30.7277	38.3495
Mrpl50	34.8105	30.3407	24.2253	25.4404	30.9458
Fam208b	7.1746	6.48204	5.47535	5.6554	6.90052
Rad23b	79.8999	61.9134	53.3417	58.9605	66.2868
Cep76	7.35728	5.51616	4.92759	5.12097	6.00095
Arglu1	33.8678	30.8982	23.0825	27.9367	30.6789
Ttc37	7.08621	5.55943	4.90137	5.45369	7.10949
Elf2	15.8806	13.3776	11.6666	11.9099	14.2269
B3gat1	11.6674	12.7295	12.1668	10.6799	18.386
Zfp184	2.10792	1.76156	1.22045	1.58377	2.06726
Cep95	6.29296	5.25841	4.03184	4.85482	5.20378
Krr1	13.0343	10.7922	8.78509	9.59103	12.4581
Rrn3	27.9054	24.7701	20.0537	22.166	25.1965
Ttpa	13.8794	8.46781	8.06585	10.0921	10.5156
Tcf12	121.144	99.0516	83.6706	80.7795	99.4421
Psmg3	29.7025	28.8605	20.0451	25.6453	31.0673
Rpl31-ps12	208.596	208.338	154.327	170.778	203.022
Ank2	99.0502	88.349	81.5899	85.0626	107.364
Larp4	17.6527	14.1914	12.329	11.6888	12.5918
Zfp566	2.78782	1.89335	2.15289	1.67613	2.50541
Lap3	68.7548	62.5158	47.3845	56.3507	67.0361
Rnf145	43.3963	37.9554	31.7385	33.5539	38.4678
Gm5523	1.61284	1.91674	1.28854	1.07055	1.34484
H2-Ke6	32.7177	35.1718	24.8484	27.1555	37.0824
Exosc5	23.2299	25.9018	18.0666	18.143	21.7414
Utp18	35.2113	29.0557	22.7058	25.7864	29.8492
Atrip	6.10072	5.88609	4.81737	5.44049	7.23427
Ipmk	12.2563	9.52219	8.23363	8.42577	11.299
Lyrm4	9.35429	7.59847	6.39149	6.49298	7.86894
Prelid1	235.499	201.815	147.441	166.027	178.108
Prkd3	22.3814	18.3517	16.3515	16.2815	21.6401
Atxn7	4.43566	3.37817	3.30753	3.25577	4.04396
Chfr	21.9475	21.999	17.5188	17.5262	21.2388
Rps25	89.027	112.476	73.1102	78.6607	99.2184
Abcb7	13.2904	8.65172	8.44623	8.61809	9.6345
Cdkn2d	37.93	29.4829	23.6568	27.6744	33.1097
Elp2	48.431	42.0566	35.6014	39.0983	47.8319
Rgs20	35.8354	29.4355	23.2856	26.781	32.9681
Stox2	16.2138	13.1603	13.1636	12.4525	13.5575
Shkbp1	7.74554	7.59048	5.67172	5.94731	6.56088
Purb	35.9109	33.6956	28.6985	27.8278	34.5007
Bzw1	126.101	90.9894	84.0745	87.9197	110.06
Rbx1	42.7622	40.0884	32.8931	35.5058	41.0671
Phf8	5.75373	4.29034	4.37558	4.35282	4.96239
Tmprss7	1.06794	0.679415	0.640537	0.947509	0.713762
Pigb	3.26626	2.8542	2.73115	3.1534	3.1037
Npepl1	25.4404	25.0642	15.8139	20.994	22.7316
Pex10	6.29118	5.12764	4.53093	4.49942	6.1858
Vps16	20.2953	16.8704	15.1068	15.8891	21.0056
Zfp609	13.505	12.293	10.7142	11.5173	11.6175
Rpl11	110.045	115.463	80.9572	93.1605	101.398
Ptcd3	35.6533	30.2075	23.4722	27.8056	32.0663
Pabpc1	161.943	127.555	103.607	111.176	126.734
Slc25a18	59.8115	71.5757	47.6931	66.3219	68.8528
Plaa	22.9127	18.3523	15.0684	17.188	19.3076
Sdccag3	41.0472	39.8629	30.9796	33.2132	41.259
Arl6ip4	34.7263	39.6704	25.365	33.0419	35.6107
Asb13	12.8381	10.5883	9.00608	10.017	11.674
Zc3h7b	48.231	44.7488	38.0889	42.0871	49.2012
Dr1	19.1797	13.9241	12.4246	12.0821	12.7326
Golm1	104.3	100.912	62.4945	98.9466	80.3027
Safb2	22.4066	20.8817	14.764	20.2028	20.739
Gm6548	48.4768	51.1234	39.0307	41.8711	45.3428
Zbed3	24.9842	23.5722	17.8566	20.7883	23.3232
Amot	10.1915	9.23822	9.02157	8.15228	10.8673
Elac2	18.2783	15.054	12.8301	14.9666	18.6077
